date,country,currency_code,exchange_rate
2026-04-20,DANEMAARK COURONNE,DKK,651.19
2026-04-20,COURONNE,NOK,443.82
2026-04-20,NORV,EGE,452.97
2026-04-20,FMI DTS,XDR,5.0
2026-04-21,COURONNE,NOK,443.97
2026-04-21,NORV,EGE,450.92
2026-04-21,SUEDE COURONNE,SEK,23.25
2026-04-21,FMI DTS,XDR,682.99
2026-04-22,COMMUNAUTE,EUR,4.0
2026-04-22,ETATS-U,NIS,4.0
2026-04-22,Ha,PON,3021.25
2026-04-22,CAN,ADA,651.38
2026-04-22,COURONNE,NOK,445.68
2026-04-22,NORV,EGE,449.14
2026-04-22,SUEDE COURONNE,SEK,23.28
2026-04-22,DJIBO,UTI,23.23
2026-04-22,FMI DTS,XDR,5.0
2026-04-22,MAUR,ICE,89.12
2026-04-22,AUSTRA,LIE,2961.75
2026-04-22,SINGAP,OUR,3254.19
2026-04-22,AFGHANIS,TAN,44.44
2026-04-22,ALBA,NIE,50.95
2026-04-22,ANG,OLA,4.5
2026-04-22,ARGENT,INE,3.03
2026-04-22,AR,UBA,4.0
2026-04-22,BARB,ADE,2053.64
2026-04-22,BANGLAD,ESH,33.71
2026-04-22,BULGA,RIE,13.44
2026-04-22,BAHR,EIN,10.0
2026-04-22,BURU,NDI,1.39
2026-04-22,BERMU,DES,4.0
2026-04-22,BRU,NEI,3.0
2026-04-22,BOLI,VIE,597.29
2026-04-22,BRE,SIL,830.45
2026-04-22,BAHA,MAS,4.0
2026-04-22,BOTSW,ANA,373.81
2026-04-22,BIELORU,SIE,0.24
2026-04-22,BEL,IZE,2.0
2026-04-22,COLOM,BIE,55.76
2026-04-22,EGY,PTE,79.54
2026-04-22,ERYTH,REE,274.38
2026-04-22,FI,DJI,1.0
2026-04-22,FALKL,AND,5.0
2026-04-22,GIBRAL,TAR,5.0
2026-04-22,GUI,NEE,47.0
2026-04-22,GUATEM,ALA,541.04
2026-04-22,GUY,ANE,19.77
2026-04-22,HONDU,RAS,155.67
2026-04-22,CROA,TIE,587.35
2026-04-22,HA,ITI,31.66
2026-04-22,I,NDE,44.44
2026-04-22,I,RAQ,3.16
2026-04-23,DE LA POLITI,QUE,200.39
2026-04-23,CO,URS,20042026.0
2026-04-23,COMMUNAUTE,EUR,136.24
2026-04-23,ETATS-U,NIS,136.24
2026-04-23,Ha,PON,3020.45
2026-04-23,CAN,ADA,649.96
2026-04-23,NORV,EGE,448.38
2026-04-23,FMI DTS,XDR,681.49
2026-04-23,MAUR,ICE,89.21
2026-04-23,AUSTRA,LIE,2964.07
